LANG_ID,CLASS_ID,CLIENT_ID,MATTER_NO,CASEINFO_NO,TK_CODE,DEF_RATE,ASSIGNED_RATE,RATE_UNIT,STATUS_ID,Isdeleted,CTD_BY,CTD_ON
EN,1,52908,52908-01,888888,BGM,325,300,$,26,0,admin,5/22/2022
EN,1,51026,51026-01,888888,BGM,325,315,$,26,0,admin,5/22/2022
EN,1,53013,53013-02,888888,BGM,325,300,$,26,0,admin,5/22/2022
EN,1,50798,50798-02,888888,BGM,325,300,$,26,0,admin,5/22/2022
EN,1,51054,51054-25,888888,BGM,325,350,$,26,0,admin,5/22/2022
EN,1,51054,51054-27,888888,BGM,325,350,$,26,0,admin,5/22/2022
EN,1,53925,53925-03,888888,BGM,325,295,$,26,0,admin,5/22/2022
EN,1,51054,51054-10,888888,BGM,325,350,$,26,0,admin,5/22/2022
EN,1,50005,50005-01,888888,BGM,325,285,$,26,0,admin,5/22/2022
EN,2,8270,8414-191,888888,COD,450,225,$,26,0,admin,5/22/2022
EN,2,9243,9243-211,888888,COD,450,350,$,26,0,admin,5/22/2022
EN,2,8358,8345-191,888888,COD,450,300,$,26,0,admin,5/22/2022
EN,1,52658,8345-191,888888,COD,450,450,$,26,0,admin,5/22/2022
EN,2,8345,9289-221,888888,COD,450,300,$,26,0,admin,5/22/2022
EN,2,9055,9296-221,888888,COD,450,300,$,26,0,admin,5/22/2022
EN,1,53005,9158-211,888888,COD,450,350,$,26,0,admin,5/22/2022
EN,1,53021,9277-221,888888,COD,450,365,$,26,0,admin,5/22/2022
EN,1,52015,9296-221,888888,COD,450,450,$,26,0,admin,5/22/2022
EN,2,9055,9183-211,888888,COD,450,300,$,26,0,admin,5/22/2022
EN,1,53013,8414-221,888888,COD,450,375,$,26,0,admin,5/22/2022
EN,1,51098,8617-191,888888,COD,450,300,$,26,0,admin,5/22/2022
EN,1,50102,8642-191,888888,COD,450,300,$,26,0,admin,5/22/2022
EN,2,9055,9211-211,888888,COD,450,300,$,26,0,admin,5/22/2022
EN,1,53038,9125-211,888888,COD,450,350,$,26,0,admin,5/22/2022
EN,2,9055,9133-211,888888,COD,450,300,$,26,0,admin,5/22/2022
EN,1,50005,9104-211,888888,COD,450,350,$,26,0,admin,5/22/2022
EN,2,9055,9104-211,888888,COD,450,300,$,26,0,admin,5/22/2022
EN,1,53500,9124-211,888888,COD,450,475,$,26,0,admin,5/22/2022
EN,1,80009,9127-211,888888,COD,450,450,$,26,0,admin,5/22/2022
EN,2,9314,9102-221,888888,COD,450,400,$,26,0,admin,5/22/2022
EN,2,9158,9105-211,888888,COD,450,600,$,26,0,admin,5/22/2022
EN,2,9055,9124-211,888888,COD,450,300,$,26,0,admin,5/22/2022
EN,1,51098,9124-211,888888,COD,450,300,$,26,0,admin,5/22/2022
EN,1,50991,9126-211,888888,COD,450,300,$,26,0,admin,5/22/2022
EN,2,9055,9312-221,888888,COD,450,300,$,26,0,admin,5/22/2022
EN,1,51020,9102-211,888888,CR,0,125,$,26,0,admin,5/22/2022
EN,1,52658,9102-211,888888,DC,85,85,$,26,0,admin,5/22/2022
EN,1,52015,9102-211,888888,DC,85,85,$,26,0,admin,5/22/2022
EN,1,80009,9110-211,888888,DC,85,85,$,26,0,admin,5/22/2022
EN,1,52015,9133-211,888888,DD,125,150,$,26,0,admin,5/22/2022
EN,1,53966,9106-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,51098,9106-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,51161,9131-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,50452,9131-211,888888,DD,125,105,$,26,0,admin,5/22/2022
EN,1,52658,9103-211,888888,DD,125,150,$,26,0,admin,5/22/2022
EN,1,52015,9103-211,888888,DD,125,125,$,26,0,admin,5/22/2022
EN,1,50090,9102-211,888888,DD,125,185,$,26,0,admin,5/22/2022
EN,1,53977,9123-211,888888,DD,125,100,$,26,0,admin,5/22/2022
EN,1,52658,9105-221,888888,DD,125,125,$,26,0,admin,5/22/2022
EN,1,53022,9105-211,888888,DD,125,50,$,26,0,admin,5/22/2022
EN,1,53020,9105-211,888888,DD,125,95,$,26,0,admin,5/22/2022
EN,1,51054,9105-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,50583,9121-211,888888,DD,125,175,$,26,0,admin,5/22/2022
EN,1,51043,9100-211,888888,DD,125,100,$,26,0,admin,5/22/2022
EN,1,50822,9100-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,50555,9100-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53927,9173-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53030,9173-211,888888,DD,125,175,$,26,0,admin,5/22/2022
EN,1,53930,9209-211,888888,DD,125,50,$,26,0,admin,5/22/2022
EN,1,52902,9172-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53905,9172-211,888888,DD,125,120,$,26,0,admin,5/22/2022
EN,1,52948,9173-211,888888,DD,125,150,$,26,0,admin,5/22/2022
EN,1,52652,9167-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,50963,9167-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,50963,9167-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,51269,9203-211,888888,DD,125,120,$,26,0,admin,5/22/2022
EN,1,53926,9203-211,888888,DD,125,150,$,26,0,admin,5/22/2022
EN,1,53021,9111-211,888888,DD,125,150,$,26,0,admin,5/22/2022
EN,1,51194,9129-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,52902,9197-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,50141,9197-211,888888,DD,125,150,$,26,0,admin,5/22/2022
EN,1,51054,9275-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,50963,9275-221,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53946,9113-211,888888,DD,125,150,$,26,0,admin,5/22/2022
EN,1,52902,9113-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,52902,9113-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53995,9086-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53957,9055-211,888888,DD,125,105,$,26,0,admin,5/22/2022
EN,1,50008,9145-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,50008,9067-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53937,2656-191,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53938,9133-211,888888,DD,125,150,$,26,0,admin,5/22/2022
EN,1,53948,9124-211,888888,DD,125,150,$,26,0,admin,5/22/2022
EN,1,53947,9296-221,888888,DD,125,150,$,26,0,admin,5/22/2022
EN,1,50963,9277-221,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53942,9243-211,888888,DD,125,150,$,26,0,admin,5/22/2022
EN,1,53043,9289-221,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,50822,9104-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53950,9127-211,888888,DD,125,150,$,26,0,admin,5/22/2022
EN,1,50963,9113-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,50963,9277-221,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53971,9105-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,80009,9124-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,80009,9124-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53984,9132-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53941,9132-211,888888,DD,125,120,$,26,0,admin,5/22/2022
EN,1,52902,9312-221,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,50991,9102-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53935,9102-211,888888,DD,125,150,$,26,0,admin,5/22/2022
EN,1,51239,9102-221,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53033,9110-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,53981,9110-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,1,51054,9133-211,888888,DD,125,85,$,26,0,admin,5/22/2022
EN,2,2656,9321-221,888888,DE2,0,125,$,26,0,admin,5/22/2022
EN,2,9267,9106-211,888888,DE2,0,125,$,26,0,admin,5/22/2022
EN,2,8270,9131-211,888888,DE2,0,85,$,26,0,admin,5/22/2022
EN,2,9267,9103-211,888888,DEC,85,125,$,26,0,admin,5/22/2022
EN,1,50913,9102-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,50263,9123-211,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,82650,9128-211,888888,DNR,450,315,$,26,0,admin,5/22/2022
EN,1,53030,9105-221,888888,DNR,450,625,$,26,0,admin,5/22/2022
EN,1,51132,9125-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,53964,9105-211,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,50384,9105-211,888888,DNR,450,475,$,26,0,admin,5/22/2022
EN,1,50822,9121-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,50798,9100-211,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,53966,9100-211,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,52000,9100-211,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,50963,9122-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,50822,9173-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,50822,9173-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,51054,9209-211,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,51098,9172-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,50649,9172-211,888888,DNR,450,575,$,26,0,admin,5/22/2022
EN,1,52902,9173-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,2,8617,9167-211,888888,DNR,450,360,$,26,0,admin,5/22/2022
EN,1,50452,9167-211,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,52658,9167-211,888888,DNR,450,425,$,26,0,admin,5/22/2022
EN,1,52907,9167-211,888888,DNR,450,360,$,26,0,admin,5/22/2022
EN,1,50822,9203-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,52657,9111-211,888888,DNR,450,225,$,26,0,admin,5/22/2022
EN,1,52015,9111-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,51161,9129-211,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,52920,9211-211,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,50141,9197-211,888888,DNR,450,450,$,26,0,admin,5/22/2022
EN,1,52657,9197-211,888888,DNR,450,225,$,26,0,admin,5/22/2022
EN,1,50822,9275-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,51054,9275-221,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,53907,9275-221,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,53977,9113-211,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,50822,9113-211,888888,DNR,450,325,$,26,0,admin,5/22/2022
EN,1,53020,9296-221,888888,DNR,450,400,$,26,0,admin,5/22/2022
EN,1,52658,9067-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,53022,9086-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,53934,8589-191,888888,DNR,450,350,$,26,0,admin,5/22/2022
EN,1,53932,9086-211,888888,DNR,450,385,$,26,0,admin,5/22/2022
EN,1,50799,8617-191,888888,DNR,450,0,$,26,0,admin,5/22/2022
EN,1,51067,9277-221,888888,DNR,450,475,$,26,0,admin,5/22/2022
EN,1,51043,8550-191,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,53965,9158-211,888888,DNR,450,375,$,26,0,admin,5/22/2022
EN,1,51054,9171-211,888888,DNR,450,300,$,26,0,admin,5/22/2022
EN,1,50583,9243-211,888888,DNR,450,625,$,26,0,admin,5/22/2022
EN,1,51020,9086-211,888888,DNR,450,315,$,26,0,admin,5/22/2022
EN,1,50683,9171-211,888888,DNR,450,350,$,26,0,admin,5/22/2022
