inventoryId,languageId,companyCodeId,plantId,warehouseId,palletCode,caseCode,itemCode,packBarcodes,variantCode,variantSubCode,batchSerialNumber,storageBin,stockTypeId,specialStockIndicatorId,referenceOrderNo,storageMethod,binClassId,description,allocatedQuantity,inventoryQuantity,inventoryUom,manufacturerCode,manufacturerDate,expiryDate,barcodeId,cbm,cbmUnit,cbmPerQuantity,manufacturerName,origin,brand,referenceDocumentNo,levelId,companyDescription,plantDescription,warehouseDescription,statusDescription,stockTypeDescription,deletionIndicator,referenceField1,referenceField2,referenceField3,referenceField4,referenceField5,referenceField6,referenceField7,referenceField8,referenceField9,referenceField10,dType,createdBy
,EN,23,125,200,99999,99999,1660375020,99999,,,,A2-AB-33-60A,1,1,,,1,IDLER PULLEY COASTER 2015,0,2,EACH,TOY,,,1660375020  K,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AB,,,IDLER PULLEY COASTER 2015,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,1660431010,99999,,,,A2-AB-33-60C,1,1,,,1,IDLER PULLEY No.1 L/C PRADO 2003-2008,0,5,EACH,TOY,,,1660431010  C,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,5,AB,,,IDLER PULLEY No.1 L/C PRADO 2003-2008,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,1660431020,99999,,,,A2-AA-33-60D,1,1,,,1,IDLER PULLEY No.1 L/C PRADO 2008-,0,2,EACH,TOY,,,1660431020  D,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AA,,,IDLER PULLEY No.1 L/C PRADO 2008-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,1660431030,99999,,,,A2-AB-33-60A,1,1,,,1,IDLER PULLEY No.1 PRADO 13-/HIACE 19-,0,2,EACH,TOY,,,1660431030  E,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AB,,,IDLER PULLEY No.1 PRADO 13-/HIACE 19-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,1660450030,99999,,,,A2-AB-33-60C,1,1,,,1,IDLER PULLEY No.2 LAND CRUISER 100 2003-,0,2,EACH,TOY,,,1660450030  F,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AB,,,IDLER PULLEY No.2 LAND CRUISER 100 2003-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,1662075031,99999,,,,A2-AB-05-50B,1,1,,,1,"TENSIONER COASTER 08-,HIACE/INNOVA 06-",0,2,EACH,TOY,,,1662075031  L,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AB,,,"TENSIONER COASTER 08-,HIACE/INNOVA 06-",TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,1770031B80,99999,,,,B2-AC-12-20B,1,1,,,1,AIR CLEANER ASSY HIACE COM 2020,0,1,EACH,TOY,,,1770031B80  S,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AC,,,AIR CLEANER ASSY HIACE COM 2020,TOY,B2,InventoryV2,admin
,EN,23,125,200,99999,99999,1770558360,99999,,,,A2-AB-07-40A,1,1,,,1,CAP AIR CLEANER COASTER 2001-2005,0,1,EACH,TOY,,,1770558360  W,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AB,,,CAP AIR CLEANER COASTER 2001-2005,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,1775251011,99999,,,,A2-AB-24-30C,1,1,,,1,"INLET AIR CLEANER,L/C-2013-",0,2,EACH,TOY,,,1775251011  K,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,2,AB,,,"INLET AIR CLEANER,L/C-2013-",TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,1780174060,99999,,,,A2-AB-02-40B,1,1,,,1,PM2 AIR FILTER ELEMENT  ES 300 1997-,0,3,EACH,TOY,,,1780174060  O,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,3,AB,,,PM2 AIR FILTER ELEMENT  ES 300 1997-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,17801AZA31,99999,,,,A2-AB-33-50B,1,1,,,1,1780167060  AIR FILTER L/C 6CY 98-07,0,1,EACH,TOY,,,17801AZA31  N,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AB,,,1780167060  AIR FILTER L/C 6CY 98-07,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,1788120090,99999,,,,A2-AB-06-40A,1,1,,,1,HOSE AIR CLEANER No.1 CAMRY 2005-,0,3,EACH,TOY,,,1788120090,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,3,AB,,,HOSE AIR CLEANER No.1 CAMRY 2005-,TOY,A2,InventoryV2,admin
,EN,23,125,200,99999,99999,1788125020,99999,,,,A2-AB-06-60A,1,1,,,1,HOSE AIR CLEANER CAMRY 2021-,0,1,EACH,TOY,,,1788125020  O,,,,TOY,,,,3,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AB,,,HOSE AIR CLEANER CAMRY 2021-,TOY,A2,InventoryV2,admin
