LANG_ID,CLASS_ID,CLIENT_ID,MATTER_NO,STATUS_ID,CTD_BY,CTD_ON,,,,,,,,,,,,,
EN,2,7081,7081-16,30,BHARGAVI,09-08-2016,,,,,,,,,,,,,
EN,2,7082,7082-16,30,BHARGAVI,05-14-2016,,,,,,,,,,,,,
EN,2,7083,7083-16,30,BHARGAVI,05-14-2016,,,,,,,,,,,,,
EN,2,7084,7084-16,30,BHARGAVI,07-09-2018,,,,,,,,,,,,,
EN,2,7085,7085-16,30,BHARGAVI,05-14-2016,,,,,,,,,,,,,
EN,2,7086,7086-16,30,BHARGAVI,05-19-2016,,,,,,,,,,,,,
EN,2,7088,7088-16,30,BHARGAVI,05-18-2017,,,,,,,,,,,,,
EN,2,7089,7089-19,30,BHARGAVI,07-05-2019,,,,,,,,,,,,,
EN,2,7090,7090-16,30,BHARGAVI,05-26-2016,,,,,,,,,,,,,
EN,2,7091,7091-16,30,BHARGAVI,06-01-2016,,,,,,,,,,,,,
EN,2,7092,7092-16,30,BHARGAVI,06-04-2016,,,,,,,,,,,,,
EN,2,7093,7093-17,30,BHARGAVI,05-23-2017,,,,,,,,,,,,,
EN,2,7094,7094-16,30,BHARGAVI,06-08-2016,,,,,,,,,,,,,
EN,2,7095,7095-16,30,BHARGAVI,06-13-2016,,,,,,,,,,,,,
EN,2,7096,7096-21,30,BHARGAVI,04-01-2021,,,,,,,,,,,,,
EN,2,7097,7097-16 ,30,BHARGAVI,06-13-2016,,,,,,,,,,,,,
EN,2,7098,7098-16,30,BHARGAVI,06-15-2016,,,,,,,,,,,,,
EN,2,7099,7099-20,30,BHARGAVI,01-09-2020,,,,,,,,,,,,,
EN,2,7100,7100-16,30,BHARGAVI,06-17-2016,,,,,,,,,,,,,
EN,2,7101,7101-16,30,BHARGAVI,06-17-2016,,,,,,,,,,,,,
EN,2,7102,7102-16,30,BHARGAVI,11-30-2016,,,,,,,,,,,,,
EN,2,7103,7103-16,30,BHARGAVI,06-22-2016,,,,,,,,,,,,,
