LANG_ID,C_ID,PLANT_ID,WH_ID,PARTNER_TYP,PARTNER_CODE,PARTNER_NM,ADD_1,ADD_2,Zone ,COUNTRY,STATE,PH_NO,FX_NO,MAIL_ID,REF_TXT,LOCATION,LATITUDE,LONGITUDE,ST_TYP_ID,ST_BIN,STATUS_ID,Isdeleted,CTD_BY,CTD_ON,UTD_BY,UTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Business Parnter type,Partner Code,Partner Name ,Address 1,Address 2,Zone ,Country,State,Phone Number,Fax Number,E-Mail ID,Reference Text,Location ,Latitude,Longitude,Storage Type ID,Storage Bin ,Status ID,Deletion Indicator,created by,created on,updated by,updated on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,NVARCHAR(50),NVARCHAR(50),NVARCHAR(5000),NVARCHAR(5000),NVARCHAR(500),NVARCHAR(50),NVARCHAR(50),NVARCHAR(500),NVARCHAR(500),NVARCHAR(500),NVARCHAR(500),NVARCHAR(500),"DECIMAL(30,15)","DECIMAL(30,15)",INTEGER,NVARCHAR(50),INTEGER,INTEGER,NVARCHAR(50),TIMESTAMP,NVARCHAR(50),TIMESTAMP
EN,1000,1001,111,1,VFT01172,TAIWAN EN (hose)L/C GB/IMLC/03/06891,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT01440,CHAOAN FUTIAN CERAMIC(porcelin vase),CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT01169,AMP CELYLON PVT LTD(artificial flowr),CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT00857,EXCELL ART INTL (glass ware)L/C 2110011965,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT02141,CHAOZHOU YINGGAO CO LTD,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT01658,TIANJIN FOREIGN TRADE(acrylic pitchr),CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VLT02433,WATANIYA PAPER PRODUCTS CO.,KUWAIT,,,KUWAIT,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT02761,TAIZHOU LUX FURNITURE CO. LTD.,CHINA,,,CHINA,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFC02771,YU YU DESIGN LTD. CORNER (E.T.C),UK,,,UK,,,,,,,,,,,1,0,admin,,,
EN,1000,1001,111,1,VFT02217,LUMINARIA GmbH & Co. germany,GERMANY,,,GERMANY,,,,,,,,,,,1,0,admin,,,
