LANG_ID,C_ID,PLANT_ID,WH_ID,PAR_ITM_CODE,BOM_NO,PAR_ITM_QTY,STATUS_ID,Isdeleted,CTD_BY,CTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Parent Item Code,BOM NUMBER,Parent item Quantity ,Status ID,Deletion Indicator,Created By ,Created on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,"DECIMAL(30,4)",INTEGER,INTEGER,NVARCHAR(50),TIMESTAMP
EN,1000,1001,110,9026306,1000089,1,1,0,admin,
EN,1000,1001,110,9027770,1000090,1,1,0,admin,
EN,1000,1001,110,9027771,1000091,1,1,0,admin,
EN,1000,1001,110,9027772,1000092,1,1,0,admin,
EN,1000,1001,110,9027773,1000093,1,1,0,admin,
EN,1000,1001,110,9028707,1000094,1,1,0,admin,
EN,1000,1001,110,9028708,1000095,1,1,0,admin,
EN,1000,1001,110,9028710,1000096,1,1,0,admin,
EN,1000,1001,110,9028711,1000097,1,1,0,admin,
EN,1000,1001,110,9028712,1000098,1,1,0,admin,
EN,1000,1001,110,9028713,1000099,1,1,0,admin,
EN,1000,1001,110,9028714,1000100,1,1,0,admin,
EN,1000,1001,110,9028715,1000101,1,1,0,admin,
EN,1000,1001,110,9028718,1000102,1,1,0,admin,
EN,1000,1001,110,9028720,1000103,1,1,0,admin,
EN,1000,1001,110,9028721,1000104,1,1,0,admin,
EN,1000,1001,110,9028723,1000105,1,1,0,admin,
EN,1000,1001,110,9028727,1000106,1,1,0,admin,
EN,1000,1001,110,009452467,1000107,1,1,0,admin,
EN,1000,1001,110,009452468,1000108,1,1,0,admin,
EN,1000,1001,110,009452469,1000109,1,1,0,admin,
EN,1000,1001,110,009452470,1000110,1,1,0,admin,
EN,1000,1001,110,009452471,1000111,1,1,0,admin,
EN,1000,1001,110,009452472,1000112,1,1,0,admin,
EN,1000,1001,110,009452473,1000113,1,1,0,admin,
EN,1000,1001,110,009452474,1000114,1,1,0,admin,
EN,1000,1001,110,009452475,1000115,1,1,0,admin,
EN,1000,1001,110,009452476,1000116,1,1,0,admin,
EN,1000,1001,110,010721034,1000117,1,1,0,admin,
EN,1000,1001,110,010901006,1000118,1,1,0,admin,
EN,1000,1001,110,010931022,1000119,1,1,0,admin,
EN,1000,1001,110,010931023,1000120,1,1,0,admin,
EN,1000,1001,110,010931024,1000121,1,1,0,admin,
EN,1000,1001,110,013061072,1000122,1,1,0,admin,
EN,1000,1001,110,013061074,1000123,1,1,0,admin,
EN,1000,1001,110,013061077,1000124,1,1,0,admin,
EN,1000,1001,110,013061078,1000125,1,1,0,admin,
EN,1000,1001,110,013061080,1000126,1,1,0,admin,
EN,1000,1001,110,013062097,1000127,1,1,0,admin,
