LANG_ID,C_ID,PLANT_ID,WH_ID,ITM_CODE,PACK_BARCODE,ST_BIN,STCK_TYP_ID,SP_ST_IND_ID,BIN_CL_ID,TEXT,INV_QTY,INV_UOM,Isdeleted,IU_CTD_BY,IU_CTD_ON
Language ID,Company Code ID,Plant ID,Warehouse ID,Item code,Pack Barcode,Storage Bin ,Stock type ID,Special Stock Indicator ID,Bin Class ID,Description ,Inventory Quantity ,Inventory UOM,Deletion Indicator,Created By ,Created on
NVARCHAR(5),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),NVARCHAR(50),INTEGER,INTEGER,INTEGER,NVARCHAR(500),"DECIMAL(30,4)",NVARCHAR(50),INTEGER,NVARCHAR(50),TIMESTAMP
EN,1000,1001,110,207315,TV00241059,GB1BA05E03,1,1,1,BUCKETEER BUCKET CADDY,106,EA,0,admin,
EN,1000,1001,110,207373,TV00288660,GB1BC05C02,1,1,1,KWIKEEZE CLEANER QT,135,EA,0,admin,
EN,1000,1001,110,207381,G190011906,GB1BA03A02,1,1,1,BRUSH CLEANER QT,271,EA,0,admin,
EN,1000,1001,110,207417,TV00365336,GB1BA07D03,1,1,1,A/C COVER RECT 36X48X34,12,EA,0,admin,
EN,1000,1001,110,207418,TV00280984,GB1BO12B02,1,1,1,GARAGE DOOR WEATHER SEAL 2-3/4X18',1,EA,0,admin,
EN,1000,1001,110,207466,TV00271871,GB1BN25A04,1,1,1,WINT DEERSKIN GLOVE LRG,20,EA,0,admin,
EN,1000,1001,110,207469,TV00366036,GB1BN12A16,1,1,1,WINT DEERSKIN GLOVE XL,22,EA,0,admin,
EN,1000,1001,110,207516,G180017743,GB1BA04A01,1,1,1,WIPEOUT TWIST MOP REFILL,113,EA,0,admin,
EN,1000,1001,110,207517,TV00322309,GB1BA20E03,1,1,1,WIPEOUT TWIST MOP,200,EA,0,admin,
EN,1000,1001,110,207530,TV00245902,GB1BN08B06,1,1,1,PROJECT GRIP GLOVES LG,2,EA,0,admin,
EN,1000,1001,110,207531,TV00245901,GB1BN08B06,1,1,1,PROJECT GRIP GLOVES XL,1,EA,0,admin,
EN,1000,1001,110,207532,TV00245904,GB1BN08B06,1,1,1,PROJECT IMP GLOVES MED,6,EA,0,admin,
EN,1000,1001,110,207535,TV00245907,GB1BN08B04,1,1,1,PROJECT PRO GLOVES MED,3,EA,0,admin,
EN,1000,1001,110,207536,TV00245903,GB1BN08B06,1,1,1,PROJECT PRO GLOVES LG,2,EA,0,admin,
EN,1000,1001,110,207537,TV00245703,GG1GM08B05,1,1,1,LGT PROJECT GLOVES XL,5,EA,0,admin,
EN,1000,1001,110,207538,TV00244934,GB1BN21A14,1,1,1,ULTIMATE PROJECT GLOVES MED,4,EA,0,admin,
EN,1000,1001,110,207539,TV00245908,GB1BN08B06,1,1,1,ULTIMATE PROJECT GLOVES LG,4,EA,0,admin,
EN,1000,1001,110,207540,TV00245906,GB1BN08B04,1,1,1,ULTIMATE PROJECT GLOVES XL,4,EA,0,admin,
EN,1000,1001,110,207577,TV00238583,GB1BN06A16,1,1,1,SAFE GLASSES BLK/GRY,3,EA,0,admin,
EN,1000,1001,110,207578,TV00238585,GB1BN06A16,1,1,1,HI-VIZ SAFETY VEST YEL,2,EA,0,admin,
EN,1000,1001,110,207579,TV00238586,GB1BN06A16,1,1,1,HI-VIZ SAFETY ORG,4,EA,0,admin,
EN,1000,1001,110,207587,G190024613,GB1BH18A02,1,1,1,CHARCOAL APPLEWOOD 14.6LB,6,EA,0,admin,
EN,1000,1001,110,207588,G190033430,GB1BN24A02,1,1,1,LUMP BRIQUETS 10.6LB,6,EA,0,admin,
EN,1000,1001,110,207768,G180016290,GB1BE01B02,1,1,1,CHALK PAINT 4OZ CHMPGN YLW,21,EA,0,admin,
EN,1000,1001,110,207769,G180023736,GB1BF03B01,1,1,1,CHALK PAINT 32OZ CHMPGN YLW,18,EA,0,admin,
EN,1000,1001,110,207794,G180020873,GB1BA02A01,1,1,1,RENEW PROTETCOR 16OZ,43,EA,0,admin,
EN,1000,1001,110,207805,G200000092,GB1BA10A03,1,1,1,COB LED SWITCH LIGHT,20,EA,0,admin,
EN,1000,1001,110,207878,TV00317966,GB1BC20D02,1,1,1,2pk DISP.ROLL COVER 9'',20,EA,0,admin,
EN,1000,1001,110,207928,G180020239,GB1BB01A03,1,1,1,LIQUID FURN POLISH 16OZ,375,EA,0,admin,
