inventoryId,languageId,companyCodeId,plantId,warehouseId,palletCode,caseCode,itemCode,packBarcodes,variantCode,variantSubCode,batchSerialNumber,storageBin,stockTypeId,specialStockIndicatorId,referenceOrderNo,storageMethod,binClassId,description,allocatedQuantity,inventoryQuantity,inventoryUom,manufacturerCode,manufacturerDate,expiryDate,barcodeId,cbm,cbmUnit,cbmPerQuantity,manufacturerName,origin,brand,referenceDocumentNo,levelId,companyDescription,plantDescription,warehouseDescription,statusDescription,stockTypeDescription,deletionIndicator,referenceField1,referenceField2,referenceField3,referenceField4,referenceField5,referenceField6,referenceField7,referenceField8,referenceField9,referenceField10,dType,createdBy
1709259939353,EN,23,125,200,99999,99999,9046707211,99999,,,,A3-AA-21-40J,1,1,,,1,CLIP RAD SUPPORT TO FRAME COROLLA/CAMRY,0,102,ECH,TOY,,,9046707211  R,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,102,AA,,,CLIP RAD SUPPORT TO FRAME COROLLA/CAMRY,TOY,A3,InventoryV2,admin
1709259939354,EN,23,125,200,99999,99999,9097502073,99999,,,,A3-AA-21-50A,1,1,,,1,PM2 EMBLEM RR BOOT L/C 2008-15,0,1,ECH,TOY,,,,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,PM2 EMBLEM RR BOOT L/C 2008-15,TOY,A3,InventoryV2,admin
1709259939355,EN,23,125,200,99999,99999,9046707215,99999,,,,A3-AA-21-50C,1,1,,,1,CLIP COROLLA 2014 ,0,1,ECH,TOY,,,9046707215  V,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,CLIP COROLLA 2014 ,TOY,A3,InventoryV2,admin
1709259939356,EN,23,125,200,99999,99999,5387930040,99999,,,,A3-AA-21-50E,1,1,,,1,RETAINER FR FENDER LINER CAMRY 2012-,0,9,ECH,TOY,,,5387930040  T,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,9,AA,,,RETAINER FR FENDER LINER CAMRY 2012-,TOY,A3,InventoryV2,admin
1709259939357,EN,23,125,200,99999,99999,7549260020,99999,,,,A3-AA-21-50F,1,1,,,1,PM3 RETAINER,0,15,ECH,TOY,,,,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,15,AA,,,PM3 RETAINER,TOY,A3,InventoryV2,admin
1709259939358,EN,23,125,200,99999,99999,7544306320,99999,,,,A3-AA-21-50G,1,1,,,1,PM3 NAME LUGGAGE DOOR No3 CAMRY 07-,0,1,ECH,TOY,,,,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,PM3 NAME LUGGAGE DOOR No3 CAMRY 07-,TOY,A3,InventoryV2,admin
1709259939359,EN,23,125,200,99999,99999,7539860021,99999,,,,A3-AA-21-50H,1,1,,,1,PM3 CLIP OUT MOULDING No.5 PRADO 04-,0,11,ECH,TOY,,,,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,11,AA,,,PM3 CLIP OUT MOULDING No.5 PRADO 04-,TOY,A3,InventoryV2,admin
1709259939360,EN,23,125,200,99999,99999,8117922820,99999,,,,A3-AA-21-60A,1,1,,,1,PM3 COVER HEADLAMP SOCKET ES240/350 2006,0,1,ECH,TOY,,,,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,PM3 COVER HEADLAMP SOCKET ES240/350 2006,TOY,A3,InventoryV2,admin
1709259939361,EN,23,125,200,99999,99999,9018906029,99999,,,,A3-AA-21-60B,1,1,,,1,PM3 GROMMET PRADO 2009,0,7,ECH,TOY,,,,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,7,AA,,,PM3 GROMMET PRADO 2009,TOY,A3,InventoryV2,admin
1709259939362,EN,23,125,200,99999,99999,6871060040,99999,,,,A3-AA-21-60D,1,1,,,1,"HINGE ASSY, DOOR,",0,1,ECH,TOY,,,,,,,TOY,,,,4,Japanese Spare Parts,Auto Lab-JSP,Auto Lab,,On Hand,0,,,,1,AA,,,"HINGE ASSY, DOOR,",TOY,A3,InventoryV2,admin
