PARTNER_CODE,LANG_ID,C_ID,PLANT_ID,WH_ID,ITEM_CODE,PARTNER_TYP,PARTNER_ITM_BAR,MFR_CODE,MFR_NAME,BRND_NM,PARTNER_NAME,PARTNER_ITM_CODE,PARTNER_ITM_BAR_CODE,MFR_BAR,STK,STK_UOM,STATUS_ID,REF_FIELD_1,REF_FIELD_2,REF_FIELD_3,IS_DELETED,CTD_BY
GMO,EN,21,222,200,84388723,1,84388723,GMO,GMO,,GMO,84388723,84388723,84388723,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,84392056,1,84392056,GMO,GMO,,GMO,84392056,84392056,84392056,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,84418637,1,84418637,GMO,GMO,,GMO,84418637,84418637,84418637,0,ECH,0,,,,0,ADMIN
TYC,EN,21,222,200,84428600,1,84428600,TYC,TYC,,TYC,84428600,84428600,84428600,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,84475288,1,84475288,GMO,GMO,,GMO,84475288,84475288,84475288,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,84496229,1,84496229,GMO,GMO,,GMO,84496229,84496229,84496229,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,84500523,1,84500523,GMO,GMO,,GMO,84500523,84500523,84500523,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,84510621,1,84510621,GMO,GMO,,GMO,84510621,84510621,84510621,0,ECH,0,,,,0,ADMIN
TYC,EN,21,222,200,84515727,1,84515727,TYC,TYC,,TYC,84515727,84515727,84515727,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,84585963,1,84585963,GMO,GMO,,GMO,84585963,84585963,84585963,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,84588809,1,84588809,GMO,GMO,,GMO,84588809,84588809,84588809,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,84621848,1,84621848,GMO,GMO,,GMO,84621848,84621848,84621848,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,84624943,1,84624943,GMO,GMO,,GMO,84624943,84624943,84624943,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,84624944,1,84624944,GMO,GMO,,GMO,84624944,84624944,84624944,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,84682963,1,84682963,GMO,GMO,,GMO,84682963,84682963,84682963,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,84973286,1,84973286,GMO,GMO,,GMO,84973286,84973286,84973286,0,ECH,0,,,,0,ADMIN
GMO,EN,21,222,200,85127904,1,85127904,GMO,GMO,,GMO,85127904,85127904,85127904,0,ECH,0,,,,0,ADMIN
TAI,EN,21,222,200,88937008,1,88937008,TAI,TAI,,TAI,88937008,88937008,88937008,0,ECH,0,,,,0,ADMIN
